,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
2902,2902,3128,AAHq2KHbwP2FOl3PceLDzUoK,공과대학,공학,2,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAFusQhKNZAOH5aykCeK8qQL,korean,석사과정,2018,2R,19930503,2018,2R,4.15,4,54.33,35.67,타교,,,0
2908,2908,3134,AAEHlpYLZF8+AwWeuTpZ4Abk,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAHzEGR8qBuR0Po+JyJGxFU6,korean,석사과정,2020,1R,19931218,2020,1R,4.19,4,39,36,타교,,15663966,652665
2910,2910,3136,AAGe6FUqC1jHExdFC5HLfEsT,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGdCALv8tDzVS5bGNFahoAe,korean,석사과정,2019,1R,19930823,2019,2R,3.69,4,46.33,35.67,자교,,17969920,748747
2914,2914,3140,AAGqEwZlRmu8d/xprVv+AzY4,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAHozmCFACnmLBmefjO3tHkl,korean,석사과정,2018,1R,19880727,2018,1R,3.83,4,42.7,46.6,타교,,18585000,774375
2923,2923,3149,AAG2Dxoh8aPm4cMqfjRh7llk,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAFtNGSLAiOzKhtl6fTSFWNQ,korean,석사과정,2019,2R,19920725,2019,2R,4.06,4,39,46.7,타교,,3390000,141250
2924,2924,3150,AAF1AOcNeQLdN/53ExmvMuMY,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAGioczb0MZcdiThVufZfhjq,korean,석사과정,2019,2R,19920708,2019,2R,4.27,4,45.5,45.4,타교,,28966330,1206930
2925,2925,3151,AAGpFw9mxaSuOq+bdW5jXa0+,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,집적회로전공,AAG4MQBz04451TMpmT1c5RIs,korean,석사과정,2019,2R,19900105,2019,2R,4.11,4,49.5,49.4,타교,,34525011,1438542
2926,2926,3152,AAEh1/PCu0yglcJ+gha/T97q,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAH+0xHd9SnDMZtBH0JmIPUG,korean,석사과정,2019,2R,19830911,2019,2R,4.38,4,49.3,49.2,타교,,,0
2927,2927,3153,AAGk/FHTVNqRnLLeYs8nVaCg,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,2019,2R,19820526,2019,2R,4.38,4,44.1,44,타교,,506000,21083
2931,2931,3157,AAHptl7xbJm2F9bR+Lpc5Mxq,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFukyr7xBbs8UJxDmTihFIk,korean,석사과정,2019,2R,19900408,2019,2R,4.31,4,44.3,44.2,타교,,46569967,1940415
2932,2932,3158,AAFkk+De+ilqOuLgHcKYXY7E,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAHCDViqJJEmqBBosbURMvpo,korean,석사과정,2019,2R,19860422,2019,2R,4.4,4,38,46.9,타교,,,0
2934,2934,3160,AAF981wUB8kynE9xxiywFbF+,공과대학,공학,2,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAHzEGR8qBuR0Po+JyJGxFU6,korean,석사과정,2020,1R,19920421,2020,1R,4,4,42,44,타교,,16740000,697500
