,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
437,439,4641,AAGKKjvCokCfJLmbV7ZSdZoX,공과대학,공학,2,정원내신입학,졸업,도시재생협동과정,,AAHL5MrGrfT6GTo3OxuZ0YvD,korean,박사과정,2018,1R,19880113,2021,1R,4.5,10,27.84,56,타교,자교,66600000,1110000
448,450,4689,AAHw1rOqr9R6zcP3tD9420ma,공과대학,공학,1,외국인,졸업,건축사회환경공학과,사회인프라전공,AAHpTShsDJo8lel4DbFdlag7,foreigner,박사과정,2018,2R,19901112,2021,1R,4.33,9,98.25,,타교,타교,63075332,1168062
451,453,4747,AAFSVmYH3+f2RP2SqIE8rbSJ,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,박사과정,2019,1R,19890210,2021,1R,4.13,8,56.33,32.67,타교,타교,,0
452,454,4748,AAELOuuLzFtX3YtOeLnRXlfn,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAFT5aAQWoSTjHQ9sbU7sw8f,korean,박사과정,2019,1R,19890330,2021,1R,3.76,8,57,36.33,타교,타교,,0
459,461,4848,AAFbkTB6CDQPkPSA9OD4/tGQ,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAGaCMeTjNaKuSWvzyinL5sl,korean,박사과정,2017,2R,19840402,2021,1R,3.61,11,59,38,타교,타교,,0
462,464,4878,AAH1NzVWF0Q4TYZkIN0/Z5Wo,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,박사과정,2017,1R,19861104,2021,1R,3.77,12,49,39.5,타교,타교,,0
474,476,5012,AAHz2xPLYEv2m/G4pMphecWk,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFi4juzPESAU71QzFVv2xel,korean,박사과정,2019,2R,19890906,2021,1R,3.87,7,58,40,타교,타교,97350000,2317857
475,477,5013,AAE/53prPpOhBgN4A8bKkik3,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFi4juzPESAU71QzFVv2xel,korean,박사과정,2019,2R,19890821,2021,1R,4.18,7,59,40,자교,자교,96535000,2298452
476,478,5018,AAES19vJPRLSr/mxiXJ1JTu6,공과대학,공학,1,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,박사과정,2019,2R,19860924,2021,1R,3.96,7,46,46,타교,타교,,0
477,479,5021,AAERlrAtZJoi+EiYAtX5rpFL,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAHnXim9e1JoSxJhPUZ6r+Y+,korean,박사과정,2019,2R,19851116,2021,1R,3.79,7,48,48.5,자교,자교,130799536,3114275
