,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
80,80,4326,AAEyPIi24R5WwxeeFj+HAZPi,보건과학대학,공학,2,정원내신입학,졸업,바이오융합공학과,바이오융합공학전공,AAHhdPIxdgBwEFlrbYKdCKX7,korean,석·박사통합과정,2018,1R,19920709,2021,1R,4.27,12,11840000,53.3,39.3,자교,,164444
81,81,4327,AAEV2CWoYbdfUktYezc7mRBx,보건과학대학,공학,2,정원내신입학,졸업,바이오융합공학과,바이오융합공학전공,AAG2To4SsGD0FGigabbDbxR3,korean,석·박사통합과정,2018,1R,19920430,2021,1R,4.32,12,115350000,53.67,37.33,자교,,1602083
82,82,4334,AAGd2dYR4zH50jBdjOaKlh/P,심리학부,인문·사회,2,정원내신입학,졸업,심리학과,행동인지신경과학전공,AAFJ+eOrfwyg9h5DzuILZ5h5,korean,석·박사통합과정,2019,2R,19880831,2021,1R,4.44,9,59960000,39.5,59,타교,,1110370
83,83,4347,AAEreVdnffN0X69AgSAFuoFy,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAHnXim9e1JoSxJhPUZ6r+Y+,korean,석·박사통합과정,2019,2R,19911012,2021,1R,4.28,12,207823424,45.5,45.5,자교,,2886436
84,84,4366,AAHBh9HU7lq7A6oGEDOPPyDv,보건과학대학,자연과학,2,정원내신입학,졸업,의생명융합과학과,식품영양과학전공,AAHOgh7Z0ib2HpfnDBf/HS+s,korean,석·박사통합과정,2020,1R,19860618,2021,1R,4.13,9,,37,50,자교,,0
85,85,4388,AAEGrI0Ia3AjGJFwJMNdszpm,법과대학,인문·사회,1,정원내신입학,졸업,법학과,상법전공,AAEtbrM8IuGtJu3wy0M3smco,korean,석·박사통합과정,2018,1R,19851102,2021,1R,4.47,12,,38,57.96,자교,,0
86,86,4410,AAEEDWd2yffydURLA7vpwUBX,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAEQeczXMHprDJeLute9KZ4D,korean,석·박사통합과정,2021,1R,19730101,2021,1R,4.32,6,,34,54,타교,,0
87,87,4445,AAG3zdaJV5LMCT2AANZIoD9L,정보대학,공학,1,정원내신입학,졸업,컴퓨터학과,소프트웨어전공,AAHlCxUQwggid/3SmpgwUN2W,korean,석·박사통합과정,2019,1R,19940218,2021,1R,4.27,10,130093800,47,48,자교,,2168230
88,88,4450,AAG4NTrbBvner+gpaek+lM23,정보대학,공학,1,정원내신입학,졸업,컴퓨터학과,소프트웨어전공,AAHKtQp9UqNotTTkQaYe8qw+,korean,석·박사통합과정,2019,1R,19890910,2021,1R,4.18,10,128200000,46,46.6,타교,,2136667
89,89,4480,AAH6OFGldKj/Rigi22/YLXlU,보건과학대학,자연과학,2,정원내신입학,졸업,보건과학과,보건생명·식품과학전공,AAF2FpVkk86q3NGJmNozjxAL,korean,석·박사통합과정,2019,2R,19940110,2021,1R,4.44,9,86256940,48,48,자교,,1597351
90,90,4481,AAHLuEnEaRTAHcX1ZOnSVSS0,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAGMlJxfOORPzbzO8WPFu09N,korean,석·박사통합과정,2020,1R,19820126,2021,1R,4.31,8,,44.5,44.5,타교,,0
91,91,4484,AAFZioPztHufLIvR3tyS+F3y,보건과학대학,자연과학,2,정원내신입학,졸업,보건과학과,환경보건학전공,AAH6VQBZM1Bq1OyB+t5qOfTm,korean,석·박사통합과정,2019,2R,19880328,2021,1R,4.39,9,507600,46,46,자교,,9400
92,92,4490,AAEt/dsOXJNhqhzIEuAhOyWe,공과대학,공학,1,학연산협동과정,졸업,바이오마이크로시스템기술협동과정,바이오마이크로시스템기술전공,AAEjhMsY958qKCUYKbgm7g0N,korean,석·박사통합과정,2019,1R,19900218,2021,1R,3.75,12,,55,38.67,타교,,0
93,93,4517,AAEws6ml69K9XpKTQOfhaLLC,이과대학,자연과학,1,정원내신입학,졸업,수학과,확률론전공,AAGaN6h5zHGpFj81Q6wrB+TK,korean,석·박사통합과정,2018,1R,19900212,2021,1R,4.5,12,98729140,48,45,자교,,1371238
94,94,4518,AAH+5RSFCo0GEPWAllX2LH6G,이과대학,자연과학,1,정원내신입학,졸업,수학과,확률론전공,AAGaN6h5zHGpFj81Q6wrB+TK,korean,석·박사통합과정,2018,1R,19910113,2021,1R,4.47,12,101329140,30,60,자교,,1407349
95,95,4526,AAE/KVCGEztWytdWnkGl4mMc,이과대학,자연과학,1,정원내신입학,졸업,화학과,유기화학전공,AAHoKX9pkxpJ3RC1knPkTDFM,korean,석·박사통합과정,2018,2R,19900207,2021,1R,4,12,126282000,35,41,타교,,1753917
96,96,4539,AAEnYlEsa6uAk0unnY6C3TxI,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,신호 및 멀티미디어전공,AAGioczb0MZcdiThVufZfhjq,korean,석·박사통합과정,2018,1R,19920201,2021,1R,4.47,12,161595472,45.5,41.8,자교,,2244382
97,97,4548,AAG/n1vRdVtqStyI3CbCpwqt,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900216,2021,1R,4.15,12,,48.1,47.2,타교,,0
98,98,4550,AAHyOEaCWV3zzkOSXhAkGMy5,공과대학,공학,1,정원외-계약학과,졸업,IT융합학과,IT융합전공,AAE9GAgYnBT76ywUf8EXt/Yl,korean,석·박사통합과정,2018,1R,19890909,2021,1R,4.08,12,75311502,46.33,43.33,자교,,1045993
99,99,4586,AAFl6XbybJZFGMHrYLmbPHIO,보건과학대학,자연과학,2,정원내신입학,졸업,의생명융합과학과,임상병리학전공,AAEFJQZqu9AJyflAngTj9nxs,korean,석·박사통합과정,2019,1R,19920810,2021,1R,4.38,10,20960000,40,50,자교,,349333
100,100,4587,AAEoaI41bB7Dgh12/BhEDs0A,보건과학대학,자연과학,2,정원내신입학,졸업,보건과학과,보건생명·식품과학전공,AAF2FpVkk86q3NGJmNozjxAL,korean,석·박사통합과정,2019,2R,19921028,2021,1R,4.39,10,79190000,45,48,자교,,1319833
101,101,4589,AAEdQg9WnJtF7ux6DJXAAQO7,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAGf8vYauYE4gGkoGe41B95E,korean,석·박사통합과정,2019,1R,19921227,2021,1R,4.34,10,103324370,48,46.67,자교,,1722073
102,102,4591,AAHQYfVY4ejhZCNhbjqAKayM,보건과학대학,자연과학,1,정원내신입학,졸업,보건과학과,치의기공학전공,AAGC3gcuN8Uq3ar2WyQ3GHyR,korean,석·박사통합과정,2021,1R,19910908,2021,1R,4.26,6,24300000,48.5,48,타교,,675000
103,103,4592,AAGTbYYjt9L8Vw5DaLa1tx/5,보건과학대학,자연과학,1,정원내신입학,졸업,보건과학과,치의기공학전공,AAGC3gcuN8Uq3ar2WyQ3GHyR,korean,석·박사통합과정,2021,1R,19910908,2021,1R,4.26,6,28500000,49,48,타교,,791667
104,104,4596,AAFj72rBxPHaWbHCNseE8gJG,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEDRkBX7/Ql8YY92VjxsLch,korean,석·박사통합과정,2018,2R,19900719,2021,1R,4.39,12,119833667,47.3,45.8,자교,,1664356
105,105,4598,AAG5hOGd0nKGz5UDAMhJXlCk,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEssPEiUNe/wYugrxd+fnX2,korean,석·박사통합과정,2018,2R,19930228,2021,1R,4.5,12,132624602,47.4,44.9,자교,,1842008
106,106,4602,AAGOSfhQxN1AwzCT3j+v1i2Z,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAG3Do5GFC741fyNHG0xL5GU,korean,석·박사통합과정,2018,1R,19901205,2021,1R,4.14,12,149018645,40.3,42.4,자교,,2069703
107,107,4627,AAHK0vbjDjJvS8+GOdBbDFPB,법과대학,인문·사회,1,정원내신입학,졸업,법학과,상법전공,AAGy0qCzwwAtJbn7rcwu3s9c,korean,석·박사통합과정,2020,1R,19700901,2021,1R,4.44,8,,40,47.2,타교,,0
108,108,4634,AAGqEQNZQ0twxga8KRU/BN6z,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAGopWa0c7/Rh6S3QHrGGKvP,korean,석·박사통합과정,2019,2R,19930512,2021,1R,4.29,9,118960000,47,47,자교,,2202963
109,109,4642,AAFsBPR5+VyavOaYtlvDKJZz,보건과학대학,자연과학,2,정원내신입학,졸업,보건과학과,환경보건학전공,AAGOovrVcNz2VQ60TLb+twag,korean,석·박사통합과정,2018,1R,19910113,2021,1R,4.32,12,156921457,42.4,40,타교,,2179465
110,110,4656,AAEEFo0aBG/N4Im6KcwZfznv,정보대학,공학,1,정원내신입학,졸업,영상정보처리협동과정,영상정보처리전공,AAGioczb0MZcdiThVufZfhjq,korean,석·박사통합과정,2019,1R,19891226,2021,1R,4.17,11,132944472,46,44.67,타교,,2014310
111,111,4678,AAHvXBJrJnz3r5xwX0icppsW,이과대학,자연과학,2,정원내신입학,졸업,화학과,분석화학전공,AAF7f0+Jymm6S48M6Du03fzp,korean,석·박사통합과정,2020,1R,19931026,2021,1R,3.81,10,86710000,41,35.5,타교,,1445167
