,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
4073,4302,4904,AAGtBGbp80y8/u+B15I0Pmbn,문과대학,인문·사회,2,외국인,졸업,국어국문학과,국어학전공,AAHavywlu7Gm3B9vB4VUKpL+,foreigner,석사과정,2020,1R,19891230,2021,1R,4.38,6,80.8,,타교,,,0
4074,4303,4905,AAEW3NTC7oZ7SuWEaZ85T3+t,정경대학,인문·사회,2,정원내신입학,졸업,정치외교학과,비교정치전공,AAGTeJF0ybmD5s/J8wYeL+Cd,korean,석사과정,2019,2R,19940129,2021,1R,4.25,7,38,60,자교,,60900000,1450000
4075,4304,4906,AAF3aFdQ/UoFRI1jQ09Lc0do,공과대학,공학,1,정원외-계약학과,졸업,나노포토닉스공학과,나노포토닉스전공,AAEQeczXMHprDJeLute9KZ4D,korean,석사과정,2021,1R,19930621,2021,1R,4.25,4,39,59,자교,,6120002,255000
4076,4305,4907,AAFdzcNndwAPtpnnwFQbHH58,공과대학,공학,1,정원외-계약학과,졸업,나노포토닉스공학과,나노포토닉스전공,AAEQeczXMHprDJeLute9KZ4D,korean,석사과정,2021,1R,19940412,2021,1R,4.19,4,38,57,자교,,6120002,255000
4077,4306,4908,AAGVZzhkPYn3bOfnahd884h1,보건과학대학,자연과학,2,정원내신입학,졸업,보건안전융합과학과,환경보건안전전공,AAH6VQBZM1Bq1OyB+t5qOfTm,korean,석사과정,2021,1R,19961217,2021,1R,4.32,4,47,47,자교,,19260000,802500
4078,4307,4909,AAHGFr1gGJhV0gcfrFL1ML7l,보건과학대학,자연과학,1,정원내신입학,졸업,보건안전융합과학과,임상검사과학전공,AAH1h5KOstPwZ0AZ+biDp4Gz,korean,석사과정,2021,1R,19940113,2021,1R,4.5,4,47,49,타교,,35550000,1481250
4079,4308,4910,AAFHB5Xk1p+AYho666teIbde,의과대학,의학,1,정원내신입학,졸업,의학과,피부과학전공,AAFAJm4m55kviGEhLjwB/F53,korean,석사과정,2019,2R,19910822,2021,1R,4.19,7,39,45,자교,,,0
4080,4309,4911,AAGEKdh5xNnSZG5trZa6GMZ9,미디어학부,인문·사회,1,정원내신입학,졸업,미디어학과,미디어학전공,AAEgf9wTUojMzqTuKEHp6ngR,korean,석사과정,2021,1R,19940610,2021,1R,3.78,4,40,40.5,타교,,16170000,673750
4081,4310,4912,AAFUaeYlMZuNvjwkgecA7FB1,공과대학,공학,1,정원외-계약학과,졸업,자동차융합학과,전자제어전공,AAGDZ4rkGFkJQKMblYZPp9Q3,korean,석사과정,2021,1R,19940714,2021,1R,4.13,4,46,47,타교,,25000000,1041667
4082,4311,4913,AAHGbDAV5Vlfl9Y94gXNqAVq,공과대학,공학,1,정원외-계약학과,졸업,자동차융합학과,전자제어전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석사과정,2021,1R,19930827,2021,1R,4.19,4,49,48,자교,,18540000,772500
4083,4312,4914,AAFIja+DPLx7Q4lVU6jj7q9H,공과대학,공학,1,정원외-계약학과,졸업,자동차융합학과,전자제어전공,AAGxp12W7P/OZsrknV1XW5AW,korean,석사과정,2021,1R,19910816,2021,1R,4.28,4,45,48,타교,,36419096,1517462
4084,4313,4915,AAHDtHWa9O23u3qwwrq5pXsY,공과대학,공학,1,정원외-계약학과,졸업,자동차융합학과,전자제어전공,AAHIZOBf233yijM0itKO4Vw1,korean,석사과정,2021,1R,19910628,2021,1R,4.25,4,44,47,타교,,20573686,857237
4085,4314,4916,AAFja+OuMOB1E1EQLA7e4Gmi,공과대학,공학,1,정원외-계약학과,졸업,자동차융합학과,전자제어전공,AAEXgpbpybfmEYI/SfyD7udJ,korean,석사과정,2021,1R,19931209,2021,1R,4.13,4,46,47,타교,,18149100,756213
4086,4315,4917,AAHABwCoVN0VMKVTKm08Y7N7,보건과학대학,자연과학,2,정원내신입학,졸업,의생명융합과학과,바이오식의과학전공,AAFCcw7fY9h3KmaxmaH/wtR8,korean,석사과정,2021,1R,19951207,2021,1R,4.44,4,39,49,자교,,18251000,760458
4087,4316,4918,AAFBTWf1kCtRw0fubybsH8mc,보건과학대학,자연과학,2,정원내신입학,졸업,의생명융합과학과,바이오식의과학전공,AAFCcw7fY9h3KmaxmaH/wtR8,korean,석사과정,2021,1R,19950211,2021,1R,4.31,4,38,49,자교,,18421000,767542
4088,4317,4919,AAFxXYCBFF1W8jXs2DYKX+dX,보건과학대학,자연과학,1,정원내신입학,졸업,의생명융합과학과,바이오의과학전공,AAGuLqWL3i/wcTox1AJgH1SI,korean,석사과정,2021,1R,19951202,2021,1R,4.44,4,37,49,자교,,23410000,975417
4089,4318,4920,AAEhtnqqVVN3VUxRN6HI7Kzw,보건과학대학,자연과학,2,정원내신입학,졸업,의생명융합과학과,바이오식의과학전공,AAHOgh7Z0ib2HpfnDBf/HS+s,korean,석사과정,2021,1R,19950530,2021,1R,4.19,4,34,46,타교,,32540000,1355833
4090,4319,4921,AAH2Xg/+bGQnC0dwTypeggbK,보건과학대학,자연과학,1,정원내신입학,졸업,의생명융합과학과,바이오식의과학전공,AAFCcw7fY9h3KmaxmaH/wtR8,korean,석사과정,2021,1R,19930403,2021,1R,4.31,4,35,46,타교,,18251000,760458
4091,4320,4922,AAEyNhbHoFRWIrPtkMPG4XJJ,문과대학,인문·사회,1,정원내신입학,졸업,사학과,서양사전공,AAEdKEgevdb23bqcf43mD1rl,korean,석사과정,2020,1R,19910912,2021,1R,4.38,7,54,37,타교,,,0
4092,4321,4923,AAFuiswc7GnPPO0nFUdgVP/I,보건과학대학,자연과학,2,정원내신입학,졸업,의생명융합과학과,바이오의과학전공,AAGFxHUzZDvvjh/+1lxEf1dw,korean,석사과정,2021,1R,19930727,2021,1R,4.25,4,41,44,타교,,22520000,938333
4093,4322,4924,AAEJxL4CF/O/YEYZuP+hSWao,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,전기에너지,AAFa0n41YacK09cpuBFoETAk,korean,석사과정,2021,1R,19940410,2021,1R,4.5,4,49.4,49.3,자교,,50480000,2103333
4094,4323,4925,AAG/9yodkiqba1IoidJ5+dr9,보건과학대학,공학,2,정원내신입학,졸업,바이오의공학과,바이오의공학,AAFwssCfN/7xYPC55pzhqS6B,korean,석사과정,2021,1R,19950204,2021,1R,4.22,4,47,50,자교,,27400000,1141667
4095,4324,4926,AAHEXDntDAUfpxzQ6oNUENYe,보건과학대학,공학,1,정원내신입학,졸업,바이오의공학과,바이오의공학,AAGMPNK/yV9wphminTE1HPug,korean,석사과정,2021,1R,19941010,2021,1R,4.29,4,47,48,자교,,34560000,1440000
4096,4325,4927,AAH+SHRFDiummHyB1Z/LOvxQ,미디어학부,인문·사회,2,외국인,졸업,미디어학과,미디어학전공,AAEbjhX30e2+PewytzyqcrUC,foreigner,석사과정,2021,1R,19950715,2021,1R,4.39,4,92,,타교,,,0
4097,4326,4928,AAHzu2ZNgCnL9r+ZO/d1JtLO,미디어학부,인문·사회,1,군위탁생,졸업,미디어학과,미디어학전공,AAH3J5qDkP++PiQ/NoColpfZ,korean,석사과정,2021,1R,19870211,2021,1R,4.17,4,47,47,타교,,,0
4098,4327,4930,AAH6U+bkwQYUv6vc7a9KNAkN,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,컴퓨터공학전공,AAG1z8MOPsG4V/wTjh0NmDLJ,korean,석사과정,2021,1R,19960507,2021,1R,4.44,4,49.8,47.3,타교,,37205032,1550210
4099,4328,4931,AAGRHbiQfVgPzHcJq3tPKqao,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,전기에너지,AAGRTPXixnSpI96DkLMAgUw7,korean,석사과정,2021,1R,19941020,2021,1R,4.44,4,49.9,49.2,자교,,33600000,1400000
4100,4329,4932,AAHkkdocMoAt9NYto+l68Zmn,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,통신 및 네트워크전공,AAEDRkBX7/Ql8YY92VjxsLch,korean,석사과정,2021,1R,19950125,2021,1R,4.44,4,46.2,42.8,타교,,39016511,1625688
